"SUID","EdgeBetweenness","interaction","MI sano","MI_","MI_enfermos","name","selected","shared interaction","shared name"
"40201","68.0","0.296002",,,"0.296002","A1BG (0.296002) A1BG-AS1","false","0.296002","A1BG (0.296002) A1BG-AS1"
"40202","132.0","0.291208",,,"0.291208","A1BG-AS1 (0.291208) ZNF497","false","0.291208","A1BG-AS1 (0.291208) ZNF497"
"40203","2.0","0.177803",,,"0.177803","AAAS (0.177803) C12orf10","false","0.177803","AAAS (0.177803) C12orf10"
"40204","58.0","0.159283",,,"0.159283","AAGAB (0.159283) MAP2K5","false","0.159283","AAGAB (0.159283) MAP2K5"
"40205","112.0","0.176772",,,"0.176772","MAP2K5 (0.176772) VWA9","false","0.176772","MAP2K5 (0.176772) VWA9"
"40206","2.95238095","0.160449",,,"0.160449","AAMDC (0.160449) KCTD21","false","0.160449","AAMDC (0.160449) KCTD21"
"40207","6.78827839","0.174062",,,"0.174062","AAMDC (0.174062) ALG8","false","0.174062","AAMDC (0.174062) ALG8"
"40208","2.95238095","0.176011",,,"0.176011","AAMDC (0.176011) NARS2","false","0.176011","AAMDC (0.176011) NARS2"
"40209","14.82673993","0.231672",,,"0.231672","AAMDC (0.231672) INTS4","false","0.231672","AAMDC (0.231672) INTS4"
"40210","14.82673993","0.244215",,,"0.244215","AAMDC (0.244215) NDUFC2","false","0.244215","AAMDC (0.244215) NDUFC2"
"40211","16.82673993","0.29305",,,"0.29305","AAMDC (0.29305) CLNS1A","false","0.29305","AAMDC (0.29305) CLNS1A"
"40212","14.82673993","0.359988",,,"0.359988","AAMDC (0.359988) RSF1","false","0.359988","AAMDC (0.359988) RSF1"
"40213","2.0","0.23148",,,"0.23148","KCTD21 (0.23148) NARS2","false","0.23148","KCTD21 (0.23148) NARS2"
"40214","15.57264942","0.271771",,,"0.271771","KCTD21 (0.271771) RSF1","false","0.271771","KCTD21 (0.271771) RSF1"
"40215","15.57264942","0.372043",,,"0.372043","KCTD21 (0.372043) NDUFC2","false","0.372043","KCTD21 (0.372043) NDUFC2"
"40216","2.28571429","0.400963",,,"0.400963","KCTD21 (0.400963) USP35","false","0.400963","KCTD21 (0.400963) USP35"
"40217","108.37700316","0.16552",,,"0.16552","ALG8 (0.16552) C11orf30","false","0.16552","ALG8 (0.16552) C11orf30"
"40218","52.78718128","0.174697",,,"0.174697","ALG8 (0.174697) GAB2","false","0.174697","ALG8 (0.174697) GAB2"
"40219","6.12161172","0.28276",,,"0.28276","ALG8 (0.28276) USP35","false","0.28276","ALG8 (0.28276) USP35"
"40220","4.6467753","0.311818",,,"0.311818","ALG8 (0.311818) RSF1","false","0.311818","ALG8 (0.311818) RSF1"
"40221","5.83589744","0.314852",,,"0.314852","ALG8 (0.314852) NARS2","false","0.314852","ALG8 (0.314852) NARS2"
"40222","7.1467753","0.318439",,,"0.318439","ALG8 (0.318439) CLNS1A","false","0.318439","ALG8 (0.318439) CLNS1A"
"40223","5.83589744","0.376718",,,"0.376718","ALG8 (0.376718) KCTD21","false","0.376718","ALG8 (0.376718) KCTD21"
"40224","4.6467753","0.380963",,,"0.380963","ALG8 (0.380963) INTS4","false","0.380963","ALG8 (0.380963) INTS4"
"40225","4.6467753","0.467816",,,"0.467816","ALG8 (0.467816) NDUFC2","false","0.467816","ALG8 (0.467816) NDUFC2"
"40226","2.28571429","0.191505",,,"0.191505","NARS2 (0.191505) USP35","false","0.191505","NARS2 (0.191505) USP35"
"40227","15.57264942","0.267935",,,"0.267935","NARS2 (0.267935) RSF1","false","0.267935","NARS2 (0.267935) RSF1"
"40228","15.57264942","0.308523",,,"0.308523","NARS2 (0.308523) NDUFC2","false","0.308523","NARS2 (0.308523) NDUFC2"
"40229","79.31215947","0.179765",,,"0.179765","INTS4 (0.179765) PRKRIR","false","0.179765","INTS4 (0.179765) PRKRIR"
"40230","15.85836371","0.212292",,,"0.212292","INTS4 (0.212292) USP35","false","0.212292","INTS4 (0.212292) USP35"
"40231","15.57264942","0.289817",,,"0.289817","INTS4 (0.289817) KCTD21","false","0.289817","INTS4 (0.289817) KCTD21"
"40232","15.57264942","0.291812",,,"0.291812","INTS4 (0.291812) NARS2","false","0.291812","INTS4 (0.291812) NARS2"
"40233","2.0","0.420911",,,"0.420911","INTS4 (0.420911) NDUFC2","false","0.420911","INTS4 (0.420911) NDUFC2"
"40234","2.0","0.455949",,,"0.455949","INTS4 (0.455949) RSF1","false","0.455949","INTS4 (0.455949) RSF1"
"40235","79.31215947","0.17014",,,"0.17014","NDUFC2 (0.17014) PRKRIR","false","0.17014","NDUFC2 (0.17014) PRKRIR"
"40236","15.85836371","0.277887",,,"0.277887","NDUFC2 (0.277887) USP35","false","0.277887","NDUFC2 (0.277887) USP35"
"40237","2.0","0.367338",,,"0.367338","NDUFC2 (0.367338) RSF1","false","0.367338","NDUFC2 (0.367338) RSF1"
"40238","74.0","0.183528",,,"0.183528","CLNS1A (0.183528) PAK1","false","0.183528","CLNS1A (0.183528) PAK1"
"40239","18.35836371","0.195375",,,"0.195375","CLNS1A (0.195375) USP35","false","0.195375","CLNS1A (0.195375) USP35"
"40240","114.31215947","0.242299",,,"0.242299","CLNS1A (0.242299) PRKRIR","false","0.242299","CLNS1A (0.242299) PRKRIR"
"40241","18.07264942","0.263205",,,"0.263205","CLNS1A (0.263205) NARS2","false","0.263205","CLNS1A (0.263205) NARS2"
"40242","18.07264942","0.279568",,,"0.279568","CLNS1A (0.279568) KCTD21","false","0.279568","CLNS1A (0.279568) KCTD21"
"40243","4.0","0.359752",,,"0.359752","CLNS1A (0.359752) NDUFC2","false","0.359752","CLNS1A (0.359752) NDUFC2"
"40244","4.0","0.427315",,,"0.427315","CLNS1A (0.427315) INTS4","false","0.427315","CLNS1A (0.427315) INTS4"
"40245","4.0","0.527776",,,"0.527776","CLNS1A (0.527776) RSF1","false","0.527776","CLNS1A (0.527776) RSF1"
"40246","15.85836371","0.20618",,,"0.20618","RSF1 (0.20618) USP35","false","0.20618","RSF1 (0.20618) USP35"
"40247","20.66666667","0.190712",,,"0.190712","CNPPD1 (0.190712) FAM134A","false","0.190712","CNPPD1 (0.190712) FAM134A"
"40248","16.0","0.195461",,,"0.195461","CNPPD1 (0.195461) DNAJB2","false","0.195461","CNPPD1 (0.195461) DNAJB2"
"40249","7.33333333","0.170916",,,"0.170916","AAMP (0.170916) CNPPD1","false","0.170916","AAMP (0.170916) CNPPD1"
"40250","8.33333333","0.189049",,,"0.189049","AAMP (0.189049) USP37","false","0.189049","AAMP (0.189049) USP37"
"40251","7.0","0.195305",,,"0.195305","AAMP (0.195305) FAM134A","false","0.195305","AAMP (0.195305) FAM134A"
