"SUID","EdgeBetweenness","interaction","MI sano","MI_","name","selected","shared interaction","shared name"
"25800","8426.0","0.197024",,"0.197024","A2M (0.197024) CHDH","false","0.197024","A2M (0.197024) CHDH"
"25801","20752.86714415","0.177722",,"0.177722","CHDH (0.177722) FAM160A1","false","0.177722","CHDH (0.177722) FAM160A1"
"25802","3107.23016551","0.180952",,"0.180952","CHDH (0.180952) HOMER2","false","0.180952","CHDH (0.180952) HOMER2"
"25803","10826.99662032","0.186222",,"0.186222","CHDH (0.186222) UGP2","false","0.186222","CHDH (0.186222) UGP2"
"25804","6116.43792367","0.186767",,"0.186767","CHDH (0.186767) IGSF8","false","0.186767","CHDH (0.186767) IGSF8"
"25805","18163.08409195","0.216997",,"0.216997","CHDH (0.216997) RAC3","false","0.216997","CHDH (0.216997) RAC3"
"25806","12481.48300972","0.175663",,"0.175663","AACS (0.175663) DBI","false","0.175663","AACS (0.175663) DBI"
"25807","11776.022682","0.177991",,"0.177991","AACS (0.177991) MARC2","false","0.177991","AACS (0.177991) MARC2"
"25808","1996.55747445","0.179917",,"0.179917","AACS (0.179917) G6PD","false","0.179917","AACS (0.179917) G6PD"
"25809","9567.56977425","0.180998",,"0.180998","AACS (0.180998) IDI1","false","0.180998","AACS (0.180998) IDI1"
"25810","8075.17186907","0.181183",,"0.181183","AACS (0.181183) BCAT2","false","0.181183","AACS (0.181183) BCAT2"
"25811","8426.0","0.184693",,"0.184693","AACS (0.184693) TTC36","false","0.184693","AACS (0.184693) TTC36"
"25812","2379.58579369","0.1927",,"0.1927","AACS (0.1927) FASN","false","0.1927","AACS (0.1927) FASN"
"25813","6851.52815098","0.221053",,"0.221053","AACS (0.221053) CYB5A","false","0.221053","AACS (0.221053) CYB5A"
"25814","22837.56077468","0.226032",,"0.226032","AACS (0.226032) LDHD","false","0.226032","AACS (0.226032) LDHD"
"25815","5904.70418566","0.236319",,"0.236319","AACS (0.236319) ACACA","false","0.236319","AACS (0.236319) ACACA"
"25816","9190.76227156","0.178225",,"0.178225","DBI (0.178225) IDH1","false","0.178225","DBI (0.178225) IDH1"
"25817","32048.71895766","0.187649",,"0.187649","MARC2 (0.187649) PXMP2","false","0.187649","MARC2 (0.187649) PXMP2"
"25818","19860.67751631","0.197213",,"0.197213","MARC2 (0.197213) NMD3","false","0.197213","MARC2 (0.197213) NMD3"
"25819","3945.72055411","0.21964",,"0.21964","G6PD (0.21964) MVD","false","0.21964","G6PD (0.21964) MVD"
"25820","2597.86098998","0.177536",,"0.177536","IDI1 (0.177536) NSUN2","false","0.177536","IDI1 (0.177536) NSUN2"
"25821","25164.53132309","0.175746",,"0.175746","BCAT2 (0.175746) C1orf198","false","0.175746","BCAT2 (0.175746) C1orf198"
"25822","1896.50376567","0.177223",,"0.177223","BCAT2 (0.177223) EYS","false","0.177223","BCAT2 (0.177223) EYS"
"25823","2483.40347594","0.178396",,"0.178396","BCAT2 (0.178396) HMGCL","false","0.178396","BCAT2 (0.178396) HMGCL"
"25824","10871.49442455","0.18253",,"0.18253","BCAT2 (0.18253) ETFA","false","0.18253","BCAT2 (0.18253) ETFA"
"25825","7823.48050084","0.264299",,"0.264299","BCAT2 (0.264299) BCKDHA","false","0.264299","BCAT2 (0.264299) BCKDHA"
"25826","2582.7080628","0.179193",,"0.179193","FASN (0.179193) MCCC1","false","0.179193","FASN (0.179193) MCCC1"
"25827","1875.36866289","0.1803",,"0.1803","FASN (0.1803) MAMDC4","false","0.1803","FASN (0.1803) MAMDC4"
"25828","5148.13966557","0.183938",,"0.183938","FASN (0.183938) PCCA","false","0.183938","FASN (0.183938) PCCA"
"25829","8426.0","0.185692",,"0.185692","FASN (0.185692) SRPX2","false","0.185692","FASN (0.185692) SRPX2"
"25830","30600.78086305","0.192553",,"0.192553","FASN (0.192553) LDHD","false","0.192553","FASN (0.192553) LDHD"
"25831","20412.76432523","0.219683",,"0.219683","FASN (0.219683) INSIG1","false","0.219683","FASN (0.219683) INSIG1"
"25832","20048.65019417","0.177476",,"0.177476","CYB5A (0.177476) GCDH","false","0.177476","CYB5A (0.177476) GCDH"
"25833","4142.55110061","0.177651",,"0.177651","CYB5A (0.177651) G6PD","false","0.177651","CYB5A (0.177651) G6PD"
