Gene Start (bp)	Gene End (bp)	Chromosome Name	Associated Gene Name
58856544	58864865	19	A1BG
58859117	58866549	19	A1BG-AS1
9220260	9268825	12	A2M
53701240	53718648	12	AAAS
125549925	125627873	12	AACS
67493371	67547533	15	AAGAB
69688532	69901481	2	AAK1
77532155	77629478	11	AAMDC
219128850	219134980	2	AAMP
34824381	34858840	20	AAR2
44267391	44281063	6	AARS2
41102543	41116515	17	AARSD1
57204456	57253666	4	AASDH
105946228	105969437	11	AASDHPPT
121715701	121784334	7	AASS
35306175	35414171	17	AATF
67143355	67240987	17	ABCA10
66970629	67057205	17	ABCA9
87133175	87342611	7	ABCB1
229652329	229694442	1	ABCB10
20654830	20816658	7	ABCB5
220074490	220083712	2	ABCB6
74273115	74376567	X	ABCB7
16242785	16317379	16	ABCC6
14914649	14918563	16	ABCC6P2
21950335	22094336	12	ABCC9
5001	144306	LRG_377	LRG_377
152990323	153010216	X	ABCD1
152893340	152913233	HG1497_PATCH	ABCD1
74752126	74769759	14	ABCD4
146019084	146050331	4	ABCE1
30529391	30555197	HSCHR6_MHC_DBB	ABCF1
30528662	30554466	HSCHR6_MHC_QBL	ABCF1
30583828	30609632	HSCHR6_MHC_MANN	ABCF1
30530573	30556377	HSCHR6_MHC_SSTO	ABCF1
30617610	30643414	HSCHR6_MHC_MCF	ABCF1
30539153	30564956	6	ABCF1
30529000	30554805	HSCHR6_MHC_COX	ABCF1
150904923	150924316	7	ABCF2
183903811	183911800	3	ABCF3
73150424	73153197	7	ABHD11
73201051	73203824	HG1257_PATCH	ABHD11
25275379	25371619	20	ABHD12
108870727	108886603	13	ABHD13
27887565	27894155	17	ABHD15
1876809	1885546	19	ABHD17A
74477368	74525847	9	ABHD17B
80972025	81047962	15	ABHD17C
19230858	19284766	18	ABHD3
43731605	43775863	3	ABHD5
27035522	27150016	10	ABI1
47287589	47300587	17	ABI3
133589333	133763062	9	ABL1
179068462	179198819	1	ABL2
116190872	116444762	10	ABLIM1
906758	1132315	17	ABR
26597180	26600278	6	ABT1
26597180	26600278	HG27_PATCH	ABT1
38144620	38178733	3	ACAA1
47309869	47340330	18	ACAA2
35441923	35766909	17	ACACA
109554400	109706031	12	ACACB
132276982	132379567	3	ACAD11
134123389	134135749	11	ACAD8
5001	17316	LRG_448	LRG_448
128598439	128634910	3	ACAD9
76190036	76253260	1	ACADM
121163538	121177811	12	ACADS
7120444	7128592	17	ACADVL
194995465	195163807	3	ACAP2
1227756	1244989	1	ACAP3
107992243	108018503	11	ACAT1
160181360	160200144	6	ACAT2
226332380	226374431	1	ACBD3
27484146	27531059	10	ACBD5
67691415	67694713	16	ACD
76571911	76737841	HG414_PATCH	ACER3
76571911	76737841	11	ACER3
23527773	23564823	14	ACIN1
42846244	42929466	3	ACKR2
237476430	237491001	2	ACKR3
132316081	132337811	3	ACKR4
40023160	40075239	HG185_PATCH	ACLY
40023161	40086795	17	ACLY
32384618	32454767	9	ACO1
41865129	41924993	22	ACO2
74003818	74010498	14	ACOT1
24667263	24705293	6	ACOT13
74034324	74042357	14	ACOT2
74058410	74063200	14	ACOT4
44470360	44486045	20	ACOT8
73937588	73975515	17	ACOX1
58490863	58523046	3	ACOX2
11685475	11689823	19	ACP5
70798261	70833433	X	ACRC
89154783	89222254	16	ACSF3
33459949	33515769	20	ACSS2
90694831	90751147	10	ACTA2
74119441	74146992	2	ACTG2
179280668	179306196	3	ACTL6A
39138289	39222223	19	ACTN4
58666798	58701750	14	ACTR10
104238986	104262482	10	ACTR1A
114647537	114720173	2	ACTR3
37377085	37400834	20	ACTR5
100592900	100635643	12	ACTR6
148602086	148688393	2	ACVR2A
38495342	38534633	3	ACVR2B
52009066	52023213	3	ACY1
127700950	128077024	10	ADAM12
9628615	9695921	2	ADAM17
156822542	157002783	5	ADAM19
87563458	87832204	7	ADAM22
3648612	3662893	20	ADAM33
106435819	106438358	14	ADAM6
135075907	135090372	10	ADAM8
38854388	38962663	8	ADAM9
28208066	28217728	21	ADAMTS1
33523640	33892297	5	ADAMTS12
130318869	130346532	11	ADAMTS15
5140443	5320417	5	ADAMTS16
77281710	77469011	16	ADAMTS18
161154098	161168846	1	ADAMTS4
64444563	64777747	5	ADAMTS6
18473892	18910948	9	ADAMTSL1
150521884	150533413	1	ADAMTSL4
29233362	29286340	17	ADAP2
143743969	143771810	6	ADAT2
1905377	1913444	19	ADAT3
140372953	140396061	7	ADCK2
227085237	227175246	1	ADCK3
145428004	145448145	HG243_PATCH	ADCK5
145596790	145618457	8	ADCK5
25042038	25142708	2	ADCY3
24787555	24804299	14	ADCY4
123001143	123168605	3	ADCY5
50280048	50352046	16	ADCY7
4003388	4166186	16	ADCY9
2845584	2931803	4	ADD1
100226121	100242558	4	ADH1B
100257649	100274184	4	ADH1C
99992132	100009952	4	ADH5
67342420	67383836	8	ADHFE1
202909951	202927700	1	ADIPOR1
1797740	1897844	12	ADIPOR2
75910960	76469061	10	ADK
10326227	10328944	11	ADM
50191921	50193832	19	ADM5
49505585	49547958	20	ADNP
77866915	77905406	18	ADNP2
64564516	64568238	10	ADO
203059782	203136533	1	ADORA1
24813847	24838328	22	ADORA2A
24825178	24891042	22	ADORA2A-AS1
112025970	112106584	1	ADORA3
64855	69547	LRG_424	LRG_424
73043710	73078187	15	ADPGK
10600911	10614550	17	ADPRM
112836790	112840658	10	ADRA2A
3768075	3770251	4	ADRA2C
67033881	67054027	11	ADRBK1
60877149	60883918	20	ADRM1
40742507	40786467	22	ADSL
244571796	244615436	1	ADSS
105190523	105213662	14	ADSSL1
44143960	44154161	7	AEBP1
19556979	19873735	12	AEBP2
89164527	89175513	15	AEN
3052908	3063105	19	AES
7760441	7941653	4	AFAP1
148651434	148721365	5	AFAP1L1
116054583	116164515	10	AFAP1L2
90038994	90068569	16	AFG3L1P
12328943	12377313	18	AFG3L2
76183398	76203782	17	AFMID
150782918	150841523	7	AGAP3
46321042	46349323	10	AGAP4
46321042	46349323	HG1211_PATCH	AGAP4
75434033	75457639	10	AGAP5
51748078	51770259	10	AGAP6
51196364	51218545	HG1074_PATCH	AGAP6
228336868	228425930	2	AGFG1
76325076	76361059	5	AGGF1
141250989	141355044	7	AGK
