Gene Start (bp)	Gene End (bp)	Chromosome Name	HGNC symbol
58345178	58353499	19	A1BG
58347751	58355183	19	A1BG-AS1
9067664	9116229	12	A2M
53307456	53324864	12	AAAS
125065379	125143333	12	AACS
67201033	67255195	15	AAGAB
69457997	69674349	2	AAK1
77821109	77918432	11	AAMDC
218264123	218270257	2	AAMP
36236459	36270918	20	AAR2
44299654	44313326	6	AARS2
42950526	42964498	17	AARSD1
56338287	56387508	4	AASDH
106075501	106098710	11	AASDHPPT
122075647	122144280	7	AASS
36948875	37056871	17	AATF
69147214	69244846	17	ABCA10
68974488	69061064	17	ABCA9
87503633	87713323	7	ABCB1
229516582	229558695	1	ABCB10
20615207	20777038	7	ABCB5
219209768	219218990	2	ABCB6
75053172	75156732	X	ABCB7
16148928	16223522	16	ABCC6
14820792	14824702	16	ABCC6P2
21797401	21941402	12	ABCC9
153724868	153744762	X	ABCD1
74285423	74303056	14	ABCD4
145097932	145129179	4	ABCE1
30571376	30597179	6	ABCF1
151207837	151227230	7	ABCF2
184186023	184194012	3	ABCF3
73736094	73738867	7	ABHD11
25294743	25390983	20	ABHD12
108218379	108234255	13	ABHD13
29560547	29567137	17	ABHD15
1876810	1885547	19	ABHD17A
71862452	71910931	9	ABHD17B
80679684	80755621	15	ABHD17C
21650897	21704805	18	ABHD3
43690113	43734371	3	ABHD5
26746593	26861087	10	ABI1
49210227	49223225	17	ABI3
130713946	130887675	9	ABL1
179099327	179229684	1	ABL2
114431113	114685003	10	ABLIM1
1003518	1229021	17	ABR
26596952	26600744	6	ABT1
38103129	38137242	3	ACAA1
49782167	49813960	18	ACAA2
37084988	37406818	17	ACACA
109116595	109268226	12	ACACB
132558138	132660723	3	ACAD11
134253495	134265855	11	ACAD8
128879596	128916067	3	ACAD9
75724347	75787575	1	ACADM
120725735	120740008	12	ACADS
7217125	7225273	17	ACADVL
195274736	195443078	3	ACAP2
1292376	1309609	1	ACAP3
108121516	108147776	11	ACAT1
159760328	159779055	6	ACAT2
226144679	226186730	1	ACBD3
27195214	27242130	10	ACBD5
67657512	67660815	16	ACD
76860867	77026797	11	ACER3
23058564	23095614	14	ACIN1
159203307	159206500	1	ACKR1
42804752	42887974	3	ACKR2
236567787	236582358	2	ACKR3
132597237	132618967	3	ACKR4
41866908	41930542	17	ACLY
32384603	32454769	9	ACO1
41469125	41528989	22	ACO2
73537114	73543794	14	ACOT1
24667035	24705065	6	ACOT13
73567620	73575658	14	ACOT2
