Start	End	Chromosome	Symbol
66119285	66465398	HG991_PATCH	SLC25A26
23551994	23552136	13	AL157931.1
23708313	23708703	13	HMGA1P6
23726725	23726825	13	RNY3P4
23743974	23744736	13	LINC00362
23791571	23791673	13	RNU6-58P
23817659	23821323	13	TATDN2P3
93708910	93710179	13	LINC00363
23841645	23843289	13	SDAD1P4
23947562	23948200	13	RPLP1P13
94021100	94021213	13	SNORD22
23993110	24002818	13	SACS-AS1
94047230	94048108	13	HNRNPA1P29
94470677	94488397	13	GPC6-AS2
94677724	94677852	13	RNA5SP35
24040710	24061603	13	LINC00327
94806447	94840245	13	GPC6-AS1
24072935	24077013	13	LINC00352
95117554	95117644	13	AL139318.1
95303651	95303783	13	RNA5SP36
24340073	24340243	13	MTCO3P2
95351479	95351756	13	RN7SL585P
95351948	95355116	13	LINC00391
95364970	95368500	13	SOX21-AS1
24463028	24471402	13	C1QTNF9B-AS1
95409705	95411526	13	BRD7P5
95412807	95413269	13	RPL21P112
95612295	95613573	13	LINC00557
95671489	95671590	13	RNU6-62P
95862598	95862702	13	snoU13
95963084	95963209	13	RNY3P8
24513696	24520921	13	ANKRD20A19P
95988360	95988455	13	RNY4P27
96046303	96046708	13	MEMO1P5
96131698	96186164	13	CLDN10-AS1
24553949	24609166	13	RP11-309I15.1
96300987	96329179	13	DNAJC3-AS1
24696204	24697953	13	IPO7P2
96344792	96346226	13	MTND5P2
24736555	24736643	13	MIR2276
24826887	24828577	13	SPATA13-AS1
96346237	96346749	13	MTND6P18
24889863	24895736	13	C1QTNF9-AS1
96346823	96347959	13	MTCYBP3
24902349	24903210	13	NUS1P3
96366931	96367032	13	snR65
24905588	24911259	13	LINC00566
96461564	96461861	13	HMGN1P24
24974841	24975167	13	CYCSP33
96821799	96822099	13	RN7SL164P
97225913	97226753	13	AMMECR1LP1
24982295	25171814	13	TPTE2P6
97536096	97542067	13	HSP90AB6P
97593535	97636426	13	LINC00359
25129366	25129451	13	AL359538.2
25140981	25144866	13	PSPC1P2
97599891	97601181	13	TULP3P1
25141011	25171814	13	RP11-556N21.1
97600272	97601838	13	RP11-65L19.4
25183217	25183313	13	AL359538.1
97601503	97601787	13	RN7SKP7
25277694	25277803	13	RNY1P7
97618195	97618268	13	SNORD112
25278476	25278926	13	RPL26P34
97709633	97709734	13	snoU13
97824723	97831876	13	LINC00456
25316815	25320322	13	IRX1P1
98015226	98015355	13	RNA5SP37
98127996	98128713	13	PSMA6P4
25324795	25326309	13	ANKRD20A10P
98327265	98330217	13	RP11-120E13.1
98538063	98538166	13	snoU13
98553907	98554542	13	RPL7AP61
98591610	98605793	13	RP11-383H17.4
25498815	25542625	13	TPTE2P1
98639204	98639470	13	FTLP8
98856089	98856446	13	RN7SKP8
98860778	98860854	13	MIR3170
98885904	98886954	13	RP11-573N10.1
98981909	98985490	13	RP11-261P24.2
25517713	25518636	13	SLC25A15P3
99087659	99088094	13	FARP1-AS1
99205497	99206034	13	RP11-295B17.6
25562715	25563063	13	RPL34P27
99229498	99231084	13	STK24-AS1
25715794	25716046	13	AL359757.1
99262546	99263130	13	NUS1P4
25746966	25754217	13	AMER2-AS1
99281940	99282243	13	CYCSP35
25755579	25763898	13	LINC01053
99293068	99293493	13	CALM2P4
25767245	25784433	13	LINC01076
99324234	99324529	13	RN7SL60P
25780187	25780644	13	RPL23AP69
99484338	99486883	13	DOCK9-AS1
75610476	75660403	HG706_PATCH	BTC
25820669	25820753	13	AL590787.1
25874262	25875576	13	RP11-271M24.2
99601973	99602701	13	RPL7L1P12
25939937	25940293	13	TCEB2P1
26027137	26027428	13	RN7SL289P
75418301	75455198	HG706_PATCH	AC142293.3
99677488	99677599	13	RNU6-83P
26091257	26091363	13	RNU6-78P
99740073	99740879	13	DOCK9-AS2
26437388	26437805	13	RP11-467D10.2
99825847	99826744	13	RPS6P23
26518632	26518891	13	RN7SL741P
39868578	39872221	HG185_PATCH	GAST
26524842	26524959	13	RNY1P3
26626414	26627523	13	LINC00415
99842833	99843245	13	GAPDHP22
99848631	99852964	13	UBAC2-AS1
26688547	26728313	13	ATP8A2P3
99857962	99858260	13	RN7SKP9
99867626	99868012	13	H2AFZP3
100008385	100008482	13	MIR623
26691686	26693102	13	PRUNEP1
100024427	100024940	13	HMGB3P4
26803469	26803781	13	RP11-380N8.6
100060035	100061316	13	CCR12P
26808350	26811266	13	PRKRIRP6
100105650	100105723	13	AL583784.1
100151981	100153306	13	LINC00449
27151023	27151812	13	RPS3AP44
100188573	100188650	13	RNY3P6
100229366	100232622	13	LINC01039
27180681	27215501	13	WASF3-AS1
100234960	100235434	13	CFL1P8
27479499	27479998	13	FGFR1OP2P1
27551680	27551926	13	RPS21P8
100295313	100295403	13	MIR4306
27591688	27592046	13	RPS20P32
100342335	100343225	13	CLYBL-AS2
27736992	27743272	13	USP12-AS1
100378501	100379745	13	CLYBL-AS1
27746396	27757135	13	USP12-AS2
27810419	27810948	13	LINC00412
100436111	100436237	13	SNORA25
100436308	100436411	13	snoU13
27829201	27829272	13	SNORD102
100647153	100650163	13	LINC00554
27829538	27829663	13	SNORA27
27894150	27894296	13	AL159977.1
100680023	100680428	13	NDUFA12P1
27917785	27917883	13	RNU6-70P
27947485	27948503	13	LINC01079
100714550	100715855	13	ASNSP3
27976613	27976724	13	RNY1P1
28008286	28008752	13	AL137059.1
28062275	28062369	13	RNU6-63P
100802735	100803346	13	RPL15P18
28270530	28271341	13	NPM1P4
39873994	39890896	HG185_PATCH	HAP1
100850441	100850723	13	RP11-340C20.3
28402900	28403006	13	RNU6-73P
101116694	101133411	13	PCCA-AS1
28407581	28495541	13	PDX1-AS1
28527663	28529507	13	LINC00543
28563435	28563721	13	RN7SL272P
101187995	101232371	13	RP11-151A6.4
28641724	28642471	13	KATNBL1P1
28681568	28682014	13	CHCHD2P8
101192089	101192528	13	RPS26P47
28710980	28712330	13	PAN3-AS1
101276129	101276683	13	COX5BP6
28788650	28790034	13	EEF1A1P3
28806638	28806744	13	RNU6-82P
101360579	101711638	13	NALCN-AS1
29172970	29174189	13	EIF4A1P7
29277839	29277944	13	RNU6-53P
101408805	101409313	13	ARF4P3
29296523	29298158	13	CYP51A1P2
101593116	101596618	13	LINC00411
29352695	29353074	13	POM121L13P
102369198	102369728	13	RP11-397O8.7
29796699	29796778	13	AL596092.1
102431234	102431398	13	RNU1-24P
29813516	29824691	13	MTUS2-AS2
102454228	102454838	13	HMGB3P7
102619992	102620096	13	MIR2681
29880915	29881922	13	GAPDHP69
102654475	102655660	13	LIPT1P1
29913703	29914006	13	RP11-351N4.4
102669303	102669419	13	RNY1P2
30050652	30064242	13	MTUS2-AS1
102698284	102698354	13	MIR4705
102915396	102915552	13	RPL39P29
30440096	30440306	13	TIMM8BP1
30446750	30462542	13	LINC00297
102944677	103046869	13	FGF14-IT1
30492784	30500788	13	LINC00572
103019889	103026016	13	FGF14-AS1
30510042	30524625	13	LINC00544
103046980	103048053	13	FGF14-AS2
30596158	30597937	13	RP11-629E24.2
103053821	103054807	13	RP11-811P12.3
103241722	103242163	13	LINC00555
30677315	30683012	13	LINC00365
103331776	103332308	13	RP11-29B2.5
30726023	30733758	13	LINC00384
103374152	103374255	13	snoU13
103395340	103397574	13	LINC00283
30728203	30728723	13	LINC00385
103472343	103472419	13	RNY5P8
30780753	30780836	13	AL356750.1
30855902	30856006	13	RNU6-64P
103532449	103548383	13	METTL21EP
30870284	30870872	13	PRDX2P1
103541208	103542184	13	RP11-255P5.2
30890497	30894040	13	LINC00427
104077550	104080035	13	RP11-123H22.1
104096970	104097318	13	ATP6V1G1P7
105466678	105467420	13	RPL7P45
106111404	106158030	13	DAOA-AS1
30914407	30951282	13	LINC00426
106356629	106416789	13	LINC00343
30993656	30996374	13	LINC01058
39910856	39943183	HG185_PATCH	JUP
106549872	106549992	13	SNORA25
31002084	31002656	13	UBE2L5P
106780720	106780837	13	AL603632.1
106807721	106807839	13	RNA5SP38
31113734	31117598	13	RBM22P2
107028911	107030565	13	LINC00460
31115780	31117034	13	MFAP1P1
107078121	107078470	13	RPL35P9
31127807	31128830	13	PTPN2P2
107270158	107283707	13	LINC00551
107306264	107324511	13	LINC00443
31377343	31384782	13	LINC00398
107315785	107316195	13	ATP5G1P5
107516164	107516634	13	PPIAP24
31456070	31507983	13	TEX26-AS1
107594562	107594907	13	AL162574.1
107627286	107627374	13	AL354741.1
107773381	107773471	13	AL445204.1
107973243	107973311	13	SNORD31
108183519	108183596	13	MIR1267
108288379	108288464	13	AL138710.1
108440690	108487799	13	FAM155A-IT1
108953560	108953679	13	RNA5SP39
109132574	109134165	13	HCFC2P1
109753609	109754267	13	MYO16-AS2
31456688	31457532	13	LINC00545
109816250	109853831	13	MYO16-AS1
31547426	31551760	13	RP11-252M21.6
109934321	109940081	13	LINC00370
19986749	20022678	21	AF240627.2
31569299	31570275	13	LINC01066
109962483	109964121	13	LINC01067
39958199	39968855	HG185_PATCH	LEPREL4
20058408	20058482	21	MIR548X
31651391	31689836	13	WDR95P
110053043	110053988	13	LINC00399
20076689	20076772	21	AP001537.1
110380629	110382354	13	LINC00676
20230097	20230594	21	PPIAP22
31885426	31887058	13	ANKRD26P4
110407168	110407615	13	AL162497.1
110567443	110567767	13	RN7SKP10
110705632	110707299	13	LINC00396
20290252	20308177	21	AL157359.4
32420978	32527609	13	EEF1DP3
20325582	20339376	21	AL157359.3
110750200	110750498	13	RN7SL783P
111066552	111066653	13	snoU13
20418629	20420003	21	AP000431.1
111108743	111115634	13	COL4A2-AS2
32559822	32565134	13	LINC01073
20502841	20506741	21	AP000431.2
32599451	32605776	13	FRY-AS1
111154922	111160526	13	COL4A2-AS1
20616860	20618709	21	SLC6A6P1
32872291	32872849	13	RP11-37E23.5
111291555	111292340	13	AL139385.1
20673930	20676056	21	AP000855.4
32958797	32960245	13	IFIT1P1
111415021	111415480	13	RPL21P107
20717465	20717629	21	RNU1-139P
111462023	111465431	13	LINC00567
32994527	32994653	13	SNORA16
20966155	20966422	21	RPL37P4
32999495	33007091	13	RP11-298P3.4
111547406	111551519	13	ANKRD10-IT1
20993009	20993859	21	AP000403.3
21112023	21112464	21	AP000568.2
33051411	33052978	13	ATP8A2P2
111589106	111592131	13	PARP1P1
21131673	21132442	21	C1QBPP
21265593	21272069	21	AP000946.2
111635654	111642911	13	LINC00431
21629065	21631133	21	AP001171.1
111748185	111755444	13	LINC00368
21728060	21728164	21	RNU6-772P
21728965	21729208	21	RN7SKP147
111766159	111768025	13	ARHGEF7-AS2
33337576	33337690	13	RNY1P4
21760646	21761157	21	FDPSP6
33451569	33485788	13	LINC00423
111774999	111796611	13	ARHGEF7-IT1
21797261	21798518	21	KRT18P2
111796652	111797080	13	ARHGEF7-AS1
33528195	33528539	13	TOMM22P3
21802755	21803074	21	RPS3AP1
33615489	33615580	13	AL161898.1
112248356	112294426	13	RP11-65D24.1
33732724	33738546	13	STARD13-IT1
39968962	39979465	HG185_PATCH	FKBP10
112554299	112555490	13	LINC00354
22114908	22175534	21	LINC00320
112563079	112563148	13	AL136302.1
112706392	112706452	13	SNORD44
112737863	112739785	13	RP11-450H6.3
112760409	112761196	13	LINC00404
22200445	22200940	21	PPIAP1
112761433	112762329	13	LINC00403
22595616	22599150	21	AP001136.2
112851664	112855314	13	LINC01070
22770068	22770146	21	AP001137.1
22939084	22987758	21	AF241725.4
112967781	112976072	13	LINC01043
23006773	23007049	21	AF241725.1
112976881	112985539	13	LINC01044
23027359	23058649	21	AF241725.6
113372159	113372228	13	AL162711.1
113399763	113409007	13	ATP11A-AS1
23095613	23109639	21	LINC00317
113539551	113539994	13	AL356740.1
33845516	33855471	13	STARD13-AS
113619149	113620445	13	RP11-120K24.3
